State,Income,Education,Poverty,Unemployment,State_Abbreviation,
Alabama,65560,29.9,15.2,3.1,AL,
Alaska,91260,32.8,10.3,4.6,AK,
Arizona,84700,34.7,11.9,3.6,AZ,
Arkansas,64840,27.1,15.3,3.5,AR,
California,100600,38.1,11.8,5.3,CA,
Colorado,106500,47.8,9.6,4.3,CO,
Connecticut,99240,42.6,10.1,3.2,CT,
Delaware,85860,36.0,10.1,3.7,DE,
District of Columbia,104800,65.5,16.4,5.2,DC,
Florida,75630,35.8,12.1,3.4,FL,
Georgia,81210,36.3,12.8,3.5,GA,
Hawaii,98240,37.8,10.0,3.0,HI,
Idaho,81650,33.0,10.4,3.7,ID,
Illinois,84210,39.2,11.5,5.0,IL,
Indiana,76710,30.7,12.1,4.2,IN,
Iowa,85480,32.1,11.2,3.0,IA,
Kansas,87690,36.0,10.9,3.6,KS,
Kentucky,64790,27.9,15.4,5.1,KY,
Louisiana,60740,27.8,18.6,4.4,LA,
Maine,90730,37.1,10.6,3.1,ME,
Maryland,109700,44.7,9.2,3.0,MD,
Massachusetts,113900,48.3,9.8,4.0,MA,
Michigan,79460,33.3,13.4,4.7,MI,
Minnesota,92350,40.0,9.3,3.0,MN,
Mississippi,55980,27.0,17.8,3.2,MS,
Missouri,78390,33.5,12.2,3.7,MO,
Montana,81920,36.3,10.4,3.0,MT,
Nebraska,86140,35.4,10.6,2.8,NE,
Nevada,80590,28.5,11.8,5.6,NV,
New Hampshire,111800,41.5,7.3,2.6,NH,
New Jersey,103500,44.5,9.2,4.5,NJ,
New Mexico,64140,31.8,15.8,4.1,NM,
New York,86830,41.2,14.0,4.3,NY,
North Carolina,67220,37.1,12.6,3.6,NC,
North Dakota,88080,34.0,10.8,2.4,ND,
Ohio,80520,32.4,12.6,4.3,OH,
Oklahoma,65310,29.3,14.8,3.3,OK,
Oregon,89700,37.8,11.7,4.2,OR,
Pennsylvania,80060,36.4,11.6,3.6,PA,
Rhode Island,92290,39.0,12.0,4.3,RI,
South Carolina,76780,33.3,13.3,4.1,SC,
South Dakota,79850,34.2,10.5,1.8,SD,
Tennessee,75860,32.4,13.3,3.4,TN,
Texas,81490,35.2,13.4,4.1,TX,
Utah,104000,39.1,8.4,3.2,UT,
Vermont,85260,45.1,9.3,2.3,VT,
Virginia,97720,43.3,9.8,2.9,VA,
Washington,97500,41.0,10.0,4.5,WA,
West Virginia,63150,24.4,16.2,4.1,WV,
Wisconsin,82560,34.6,10.3,3.0,WI,
Wyoming,78680,32.3,10.0,3.2,WY,
